"presence","fold","bio01","bio04","bio12","bio15","forest","shrub","grass","wetland","crop","urban"
0,2,13.3489566613162,17.7585874799358,996.367576243981,95.0272873194222,0,0,0,0,1,0
1,2,7.67267326732673,40.352603960396,2346.14356435644,49.8346534653465,1,0,0,0,0,0
1,3,9.71052048726467,82.8091251384275,373.299003322259,40.5293466223699,0,0,0,0,0,1
1,1,9.66830491474424,51.4629087261785,1319.73520561685,50.1193580742227,0,0,0,0,0,1
0,2,19.6,61.0070317002882,1546.83141210375,28,0,0,0,1,0,0
0,2,15.5,79.166931359354,469.93001345895,57.4374158815612,0,0,0,0,0,1
0,3,7.52910628019324,92.6900483091788,1141.71618357488,7,1,0,0,0,0,0
0,1,22,49.833223880597,493.520895522388,73.4611940298507,0,0,0,0,0,1
1,1,12.3381991814461,57.8180900409277,735.776261937244,79.6971350613915,1,0,0,0,0,0
0,1,8.75122249388753,109.457775061125,836.636919315403,49.960880195599,0,0,0,0,0,1
0,1,12.0077210460772,100.759427148194,855.313823163138,52,0,0,0,0,1,0
0,2,4.56515486725664,110.633373893805,798.74889380531,45,0,0,0,1,0,0
0,2,21.9,45.9938799414349,1246.15666178624,48,0,0,0,0,0,1
0,2,9.40326876513318,108.087481840194,831.278450363196,47,0,0,0,0,0,1
0,1,18.8923295454545,67.7148863636363,1467.54971590909,13.3011363636364,1,0,0,0,0,0
1,3,15.9030183727034,67.3206955380577,308.517060367454,81.5367454068242,0,0,1,0,0,0
1,1,16.204,67.96656,473.769333333333,81.3226666666667,0,0,1,0,0,0
0,3,10.3997770345596,82.2126755852843,263.541806020067,32.7346711259755,0,0,0,0,0,1
0,2,-7.56478873239437,141.308829902492,412,45,0,0,0,0,0,0
0,3,12.5020356234097,96.568893129771,972.312977099237,45,1,0,0,0,0,0
0,3,10.3902654867257,83.119778761062,295.658185840708,35.9966814159292,0,0,0,0,0,1
0,3,10.4328523862375,82.4448390677025,266.901220865705,32.3052164261931,0,0,0,0,1,0
0,3,10.4,83.226781354051,310.061043285239,38.1098779134295,0,0,0,0,0,1
0,3,10.4692137320044,83.2694130675526,320.539313399778,37.7763012181617,0,0,0,0,0,1
0,3,-7.68910355486863,141.05014683153,415.671561051005,43.2720247295209,0,0,0,0,0,0
0,3,-7.49238249594814,140.903638573744,419.488654781199,42.5113452188006,0,0,0,0,0,0
0,2,2.63272727272727,88.2048454545455,488.59,43.0045454545455,1,0,0,0,0,0
0,3,9.7,99.4184268292683,921.008536585366,29,0,0,0,0,0,1
0,3,10.8615869017632,91.7240302267003,405.562972292191,27.6272040302267,0,0,0,0,0,1
0,3,-4.01221102548903,148.055299347955,312.864848844102,49.3289863663308,0,0,0,1,0,0
0,3,10.3837957824639,82.8001997780244,301.375138734739,35.558268590455,0,0,0,0,0,1
1,1,6.87572614107884,57.6459958506224,2563.02074688797,47.6410788381743,1,0,0,0,0,0
0,3,10.9,91.7574470734745,407.501867995019,27.6338729763387,0,0,0,1,0,0
1,1,15.8779816513761,67.7822149410223,529.695937090433,82.2922673656619,0,1,0,0,0,0
0,1,3.99603087100331,111.054751929438,816.364939360529,44.6549062844542,1,0,0,0,0,0
1,1,9.29586028460544,60.0654204398448,1043.90556274256,79.9883570504528,1,0,0,0,0,0
0,2,5.40792616720956,94.9016395222584,1154.76764386536,12,0,0,0,0,0,1
0,2,6.01503067484663,81.5719120654397,483.01226993865,25,0,0,0,0,1,0
0,3,7.22227674190383,77.6530814524043,994.527968596664,56.3562315996075,1,0,0,0,0,0
0,3,10.3063192904656,82.8373503325942,310.077605321508,37.5875831485588,0,0,0,0,0,1
0,3,10.3591814159292,83.2749336283186,306.91814159292,37.3838495575221,0,0,0,0,1,0
0,3,6.28285077951002,106.380590200445,927.201559020044,13.7817371937639,0,0,0,0,1,0
0,2,19.3076379066478,62.52342291372,1337.14427157001,23,1,0,0,0,0,0
0,1,17.036703601108,71.6768282548477,1432.8864265928,17.9792243767313,1,0,0,0,0,0
1,2,8.56627155172414,56.2043857758621,2515.72306034483,68.8426724137931,1,0,0,0,0,0
0,2,5.9270182992465,84.2338643702906,241.897739504844,66.8040904198062,0,0,0,0,1,0
1,1,12.2248655913978,58.6487768817204,732.306451612903,78.866935483871,0,1,0,0,0,0
0,1,9.7,87.249406175772,1154.78147268409,9.38836104513064,0,0,0,1,0,0
1,2,16.7746971736205,49.6065410497981,373.874831763122,84.5343203230148,0,0,0,0,0,1
1,3,14.3519480519481,36.1136233766234,1060.48441558442,92.9051948051948,0,0,0,0,0,1
0,2,9.5,107.671409313725,837.310049019608,46,0,0,0,0,0,1
1,2,15.8163029525032,58.6817971758665,474.99486521181,89.3722721437741,0,0,0,0,0,1
1,3,13.2708549222798,26.8729663212435,660.775906735751,85.8380829015544,1,0,0,0,0,0
0,3,14.9633597883598,76.0240211640211,1184.01058201058,17,0,0,0,0,0,1
0,1,12.8,84.8360969387755,1076.33290816327,12,0,0,0,1,0,0
0,2,8.9,95.8665731707317,821.981707317073,20,0,0,0,0,0,1
0,3,10.5002219755827,83.3499889012209,320.347391786903,37.3407325194229,0,0,0,0,0,1
0,3,10.4738888888889,82.6333555555556,266.137777777778,32.1077777777778,0,0,0,0,1,0
1,2,11.0765033407572,33.5155902004454,1587.9565701559,70.6492204899777,1,0,0,0,0,0
0,1,4.02261251372119,111.123710208562,816.497255762898,44.0493962678375,1,0,0,0,0,0
0,2,22.2,44.0843740795287,1213.13402061856,48.1664212076583,0,0,0,0,0,1
0,1,19,65.6352865329513,831.969914040115,30.0630372492837,0,1,0,0,0,0
1,2,13.2368686868687,52.8730303030303,1143.77904040404,87.1414141414141,0,1,0,0,0,0
0,3,5.40967379077615,97.4112035995501,1235.79752530934,10,1,0,0,0,0,0
0,1,17.5,70.6692896935933,1387.6364902507,21,0,0,0,1,0,0
0,1,21.0738095238095,51.8063541666667,269.482142857143,73.3258928571428,0,1,0,0,0,0
0,3,9.7,99.4156793145655,920.483476132191,28.9302325581395,0,0,0,0,0,1
0,3,19.0047819971871,71.4599859353024,1022.26441631505,23,0,0,0,1,0,0
0,2,18.2070735090153,47.8742995839112,257.099861303745,76.0998613037448,0,0,0,0,0,1
0,2,17.9258021390374,43.8620053475936,260.612299465241,60.9893048128342,0,0,0,0,0,1
0,2,15.998717948718,20.4884935897436,622.908653846154,88.4967948717949,0,0,0,0,0,1
0,2,14.9206730769231,20.1745352564103,751.564102564103,90.0352564102564,0,0,0,0,1,0
0,1,19.4585055643879,25.7094753577107,463.882352941176,77.5580286168521,0,0,0,0,1,0
0,3,6.87111984282908,77.0513064833006,951.924361493124,55.0481335952849,1,0,0,0,0,0
1,2,9.03540772532189,51.640482832618,2470.00858369099,62.343347639485,1,0,0,0,0,0
1,3,8.87644670050761,42.2412487309645,1064.03553299492,66.6477157360406,1,0,0,0,0,0
0,1,8.12250287026406,94.4637198622273,785.316877152698,12,0,0,0,0,0,1
1,1,7.10256081946223,57.0196927016645,823.788732394366,78.4225352112676,1,0,0,0,0,0
0,3,10.8,91.07869297164,432.149198520345,27.3871763255241,0,0,0,0,0,1
