"presence","fold","bio08","bio09","bio16","bio17","forest","urban"
0,3,16.9420289855072,-3.63490338164251,303.057971014493,257.061594202899,1,0
0,1,25.4232835820896,15.0232835820896,255.155223880597,43.5388059701493,0,1
1,1,6.25525238744884,18.8929058663029,382.832196452933,31.8417462482947,1,0
0,1,20.0960880195599,-6.37322738386308,335.771393643032,71.078239608802,0,1
0,1,22.2495641344956,-1.540099626401,355.118306351183,68,0,0
0,2,16.7651548672566,-10.6066371681416,308.651548672566,85,0,0
0,2,27.2461200585652,16.7,532.682284040996,169.323572474378,0,1
0,2,20.5675544794189,-5.4043583535109,323.400726392252,76.0326876513317,0,1
0,1,9.7640625,23.9,420.946022727273,309.963068181818,1,0
1,3,8.9753280839895,24.7343832020997,164.87532808399,6,0,0
1,1,9.20333333333333,24.9773333333333,240.604,5,0,0
0,3,0.473244147157191,20.3494983277592,90.2764771460424,34.5139353400223,0,1
0,2,9.43521126760563,-25.1,165,46,0,0
0,3,22.3868956743003,-0.397964376590331,371.132315521629,93,1,0
0,3,0.347898230088496,20.4,106.610619469027,35.8595132743363,0,1
0,3,0.48534961154273,20.342730299667,91.6970033296337,34.9822419533851,0,0
0,3,0.362153163152053,20.4621531631521,114.207547169811,36,0,1
0,3,0.5,20.6004429678848,117.429678848284,37,0,1
0,3,9.34250386398764,-25.2891035548686,164,48.6715610510046,0,0
0,3,9.4757698541329,-25,164.488654781199,49,0,0
0,2,13.441,-2.20045454545455,205.364545454545,70.5327272727273,1,0
0,3,22,-3.70548780487805,301.710975609756,141.010975609756,0,1
0,3,9.85125944584383,23.0090680100756,143.372795969773,70,0,1
0,3,14.4479549496147,-12.233669235329,138.244813278008,37.7937166567872,0,0
0,3,0.4,20.4530521642619,108.380688124306,36,0,1
1,1,3.3399377593361,12.3707468879668,1045.27904564315,281.775933609958,1,0
0,3,9.8587795765878,23.0551681195517,143.947696139477,71,0,0
1,1,8.8735255570118,24.7273918741809,268.906946264744,6,0,0
0,1,16.1805953693495,-11.3126791620728,313.148842337376,87,1,0
1,1,2.96507115135834,17.3073738680466,529.323415265201,24.8382923673997,1,0
0,2,-3.9028230184582,12.7836047774159,344.522258414767,259.812160694897,0,1
0,2,14.3406952965235,1.48067484662577,154.529652351738,93.5930470347648,0,0
0,3,-2.2360157016683,16.8976447497547,455.021589793916,115.638861629048,1,0
0,3,0.364966740576497,20.3981152993348,113.412416851441,36,0,1
0,3,0.349115044247788,20.4379424778761,112.383849557522,36,0,0
0,3,18.2070155902004,-6.79922048997773,270.102449888641,192.229398663697,0,0
0,2,26.9076379066478,19.9332390381895,397.46676096181,227.902404526167,1,0
0,1,9.13005540166205,22.3279778393352,437.63296398892,274.480609418283,1,0
1,2,2.25840517241379,15.8428879310345,1234.44073275862,137.355603448276,1,0
0,2,14.5313240043057,-4.76318622174381,118.449946178687,17.3519913885899,0,0
1,1,6.0255376344086,17.5915322580645,378.799731182796,34.2540322580645,0,0
0,1,0.8,18.4502375296912,323.388361045131,256,0,0
1,2,11.5592193808883,23.0608344549125,204.979811574697,10,0,1
1,3,10.0166233766234,18.5488311688312,596.363636363636,10,0,1
0,2,20.5960784313726,-5.25649509803922,322.769607843137,79.0122549019608,0,1
1,2,8.26251604621309,23.0124518613607,266.222079589217,5.93196405648267,0,1
1,3,10.1287564766839,16.2113989637306,338.301813471503,9.84715025906736,1,0
0,3,23.9378306878307,10.7633597883598,367.636243386243,244.007936507936,0,1
0,1,23.5071428571429,1.64910714285714,302.669642857143,233.845663265306,0,0
0,2,20.7753658536585,-2.6,246.984146341463,151,0,1
0,3,0.6,20.7976692563818,117.11320754717,37,0,1
0,3,0.5,20.405,91.4066666666667,34.6911111111111,0,0
1,2,7.49209354120267,15.2516703786192,781.447661469933,70.3028953229399,1,0
0,1,16.2290889132821,-11.2967069154775,312.950603732162,87,1,0
0,2,27.3502209131075,17.2721649484536,522.00441826215,166,0,1
0,1,22.7246418338109,10.1471346704871,271,147.636103151862,0,0
1,2,7.39002525252525,20.1987373737374,610.574494949495,13.7790404040404,0,0
0,3,0.682452193475815,-6.34578177727784,344.352080989876,270.640044994376,1,0
0,1,9.7,22.7987465181059,432.636490250696,264,0,0
0,1,24.4790178571428,15.4013392857143,129.505952380952,26.5848214285714,0,0
0,3,22.0179926560588,-3.67943696450428,301.231334149327,141.250917992656,0,1
0,3,22.8091420534459,27.8330520393812,310.682137834037,194.135021097046,0,0
0,2,13.2065187239945,24.1320388349515,136.804438280166,11.3314840499307,0,1
0,2,13.3447860962567,21.3131016042781,122.562834224599,21.4839572192513,0,1
0,2,17.7663461538462,13.0206730769231,352.929487179487,20,0,1
0,2,16.5980769230769,12.0448717948718,433.429487179487,26.4326923076923,0,0
0,1,21.6531001589825,17.2257551669316,242.721780604134,22.543720190779,0,0
0,3,-2.49813359528487,16.5318271119843,432.957760314342,114.777996070727,1,0
1,2,3.33648068669528,15.7127682403433,1154.76072961373,164.604077253219,1,0
1,3,4.16192893401015,14.3075126903553,530.328934010152,73.8852791878172,1,0
0,1,19.2668197474168,-3.5,222.794489092997,164.485648679678,0,1
1,1,1.02599231754161,14.7583866837388,417.060179257363,23.291933418694,1,0
0,3,9.8,22.8468557336622,152.059186189889,71,0,1
0,3,0.980877390326209,-6.0384701912261,333.590551181102,260.897637795276,1,0
1,1,9.13281853281853,24.9431145431145,248.11583011583,5.28700128700129,0,0
0,1,23.3702366127024,1.76600249066002,303.352428393524,229.359900373599,0,1
0,3,10.9254480286738,-6.33362007168459,108.853046594982,36.8430107526882,1,0
0,1,9.22167832167832,22.4172027972028,437.451748251748,272.394405594406,1,0
0,3,14.3224249558564,-12.3757504414361,139.214243672749,37.3225426721601,1,0
0,1,27.3,16.6420204978038,535.415812591508,175.348462664715,0,1
1,1,8.68395225464191,18.1757294429708,475.644562334217,10.7732095490716,1,0
0,2,9.49675810473815,-25.1,165,46,0,0
0,2,2.24625267665953,15.8434689507495,1233.88758029979,136.886509635974,1,0
0,2,27.3904411764706,17.1,526.520588235294,167,0,1
0,2,17.6099378881988,-9.1,149,24.1169772256729,0,0
1,2,12.7721763085399,24.0539944903581,149.679063360882,10.1790633608815,0,1
0,3,0.3,20.4,113.554817275748,36,0,0
1,2,11.8873825503356,23.7148993288591,173.422818791946,10.0671140939597,0,1
0,3,21.2020504731861,16.8287066246057,405.285488958991,40.7492113564669,1,0
0,3,0.339733629300777,20.4463928967814,113.110987791343,36,0,0
0,3,1.09932432432432,-5.98265765765766,328.154279279279,256.054054054054,1,0
1,3,9.24028497409327,18.7980569948187,395.683937823834,9.84455958549223,1,0
0,1,10.9122676579926,-11.3213135068154,207.182156133829,42.1530359355638,0,0
0,3,0.3,20.401546961326,105.824309392265,35.2596685082873,0,1
1,2,13.3186991869919,21.1850948509485,132.422764227642,19.5420054200542,0,1
1,2,8.6,23.7607277289837,263.868255959849,7,0,1
0,2,17.68608,12.90128,452.1392,23,0,1
0,3,0.516351501668521,20.7127919911012,117.246941045606,37,0,1
0,2,-3.63358531317495,13.0638228941685,340.225701943845,256.876889848812,1,0
0,3,0.171192052980132,20.2620309050773,121.806843267108,37.6181015452539,0,0
0,3,22.2007228915663,-3.5,300,143,0,1
0,2,26.8,15.8,533.001776198934,286.785079928952,0,1
1,2,6.79056603773585,13.0811320754717,984.622641509434,298,1,0
0,3,22.1887236679058,-1.29219330855019,353.852540272615,71,0,0
0,2,16.9469473684211,-11.8046315789474,215.046315789474,30,0,0
1,1,8.56084656084656,18.109126984127,474.958994708995,11.1693121693122,1,0
0,2,8.75351213282248,23.8855683269476,302.697318007663,10,0,1
1,3,9.76069651741294,22.7601990049751,148.455223880597,70,0,1
0,2,20.4963291139241,0.428354430379747,285.143037974684,192.562025316456,0,0
0,2,26.767094017094,15.8,540.371794871795,291.206552706553,0,0
0,1,0.9,-2.21512513601741,307.400435255713,234,1,0
1,2,3.12990353697749,15.2936763129689,1145.56806002144,166.243301178992,1,0
0,3,22.1930704898447,-3.70692951015532,302.011947431302,141.568697729988,0,1
1,1,8.5895618556701,17.7926546391753,471.170103092783,12.8814432989691,1,0
0,1,25.4006802721088,12.867074829932,485.887074829932,234,1,0
0,2,26.83906020558,15.7627019089574,565.176211453745,193.484581497797,0,1
0,3,0.292707182320442,20.3927071823204,116.491712707182,36,0,1
0,2,12.5089090909091,-2.97363636363636,211.963636363636,72.4963636363637,1,0
0,2,27.2787077826725,16.7787077826725,532.140969162996,163.461086637298,0,1
1,2,3.37158634538153,15.5175702811245,892.610441767068,147.722891566265,0,0
1,1,2.56475138121547,16.7791160220994,875.837569060773,120.420994475138,1,0
1,3,8.81401028277635,16.7506426735219,547.739074550129,17.4832904884319,1,0
1,2,1.90118152524168,15.4064446831364,1215.67669172932,140.342642320086,1,0
1,3,0.781374722838138,21.0625277161863,121.854767184035,37.1119733924612,0,1
0,1,1.04834874504624,14.8421400264201,410.507265521797,23.3923381770145,1,0
1,1,8.89867724867725,17.0337301587302,453.441798941799,12.6732804232804,1,0
0,2,17.5828810020877,-8.43872651356994,151.525052192067,26,0,0
0,1,10.5992927864215,23.0165487977369,458.01414427157,280.256011315417,0,0
1,2,5.41014492753623,13.6101449275362,1292.89855072464,283,1,0
0,3,22.1,-3.69439140811456,301.85799522673,142,0,1
0,2,17.6976,12.93296,373.0096,21,0,1
0,1,0.747636363636364,18.362303030303,326.546666666667,256.666666666667,0,1
0,3,0.390386740331492,20.4903867403315,112.991160220994,36,0,1
0,2,12.8153432032301,22.8487213997308,169.080753701211,16.0955585464334,0,1
0,2,26.6433333333333,17.2942028985507,530.31884057971,197.797101449275,1,0
0,1,18.4047013977128,-2.57369758576874,227.095298602287,29.0952986022872,0,0
0,2,14.367620020429,1.46241062308478,155.201225740552,93.5546475995914,0,0
0,3,18.2021252796421,-7.58020134228188,243,168,0,1
1,1,23.1276276276276,14.3602102102102,335.397897897898,44.3138138138138,0,0
0,3,22.0108173076923,-3.67692307692308,301,141.997596153846,0,1
0,2,17.7754807692308,13.0016025641026,347.544871794872,21,0,1
0,2,13.9303672316384,19.9456214689266,396.817796610169,228,1,0
1,2,8.42842377260982,23.8403100775194,336.704134366925,11,0,0
1,2,6.39479034307497,21.9869123252859,631.850063532401,17.4879288437103,1,0
0,1,22.1058252427184,7.44091539528433,339.058252427185,171.864077669903,0,1
1,1,-1.85193298969072,13.0476804123711,197.103092783505,39.25,0,0
1,1,13.0552419354839,21.7497311827957,259.184139784946,5,0,0
0,2,16.9361052631579,-12.0090526315789,211.142105263158,25,0,0
0,1,17.0573511543135,-2.1,168.081409477521,26.3098420413123,0,0
1,3,8.81683417085427,20.0654522613065,384.986180904523,7.46608040201005,0,1
0,1,26.307957957958,14.7870870870871,496.747747747748,65.7867867867868,0,0
0,2,19.102904040404,-0.620959595959596,302.973484848485,202.554292929293,1,0
0,3,20.3,-2.21590062111801,315.998757763975,194.582608695652,0,1
0,3,9.49339045287638,22.3137086903305,152.723378212974,71.3365973072215,0,1
1,2,5.34102857142857,13.5070857142857,1274.67657142857,274.864,1,0
0,2,27.0158823529412,16.9311764705882,558.919117647059,180.764705882353,0,0
0,2,12.3157670454545,19.9072443181818,396.646306818182,226.507102272727,1,0
0,3,22.2,-3.73836930455635,302,139.5,0,1
1,2,3.48935483870968,15.7309677419355,1089.0247311828,162.727956989247,1,0
0,2,27.3235207100592,17.5538461538462,534.224852071006,165,0,0
0,2,27.3678466076696,17.5818584070796,529.541297935103,166,0,0
0,1,25.8107302533532,14.919523099851,412.739195230998,65.2414307004471,0,0
0,3,0.477008928571429,20.3252232142857,91.2075892857143,34.4464285714286,0,1
0,1,0.513116726835138,18.0074608904934,334.523465703971,272.22623345367,1,0
1,3,-0.114917825537295,15.8485461441214,487.085967130215,44.4285714285714,1,0
0,2,16.4283524904215,-1.50319284802043,325.151979565773,244.310344827586,1,0
1,2,14.3744637385087,1.49959141981614,154.533197139939,93.2553626149132,0,0
0,3,9.90742793791575,3.40609756097561,236.205099778271,169.426829268293,1,0
0,1,0.973747016706444,18.2937947494033,329.645584725537,256.304295942721,0,1
1,2,14.4765368852459,1.65727459016393,155,92.1280737704918,0,1
1,1,9.56135204081633,16.4797193877551,393.079081632653,11.0599489795918,1,0
0,3,18.5706758304696,-4.76071019473081,284.348224513173,186.369988545246,1,0
