"presence","fold","bio01","bio04","bio08","bio09","bio12","bio15","bio18","forest","shrub","grass","wetland","crop","urban"
0,3,-7.5,140.848178294574,9.45317829457364,-25.0068217054264,419.289147286822,42.7108527131783,156.289147286822,0,0,0,0,0,0
0,1,12.7053050397878,64.8595623342175,5.93076923076923,21.3546419098143,810.144562334217,82.2347480106101,24.7493368700265,1,0,0,0,0,0
0,1,9.39940334128879,87.0228758949881,0.587589498806683,18.1886634844869,1191.28997613365,9.14200477326969,271.103818615752,0,0,0,0,0,1
0,3,16.3875590551181,27.7317165354331,18.4357480314961,15.2968503937008,499.784251968504,90.8251968503937,207.883464566929,0,0,1,0,0,0
1,2,17.9826145552561,43.6628706199461,13.3871967654987,21.3508086253369,261.583557951482,63.4420485175202,28.599730458221,0,0,0,0,0,1
0,3,5.79574712643678,97.2344827586207,17.5391954022989,-5.9867816091954,1061.82528735632,10.9977011494253,285.850574712644,1,0,0,0,0,0
0,2,4.53511111111111,110.909477777778,16.7351111111111,-10.6648888888889,801.553333333333,44.5388888888889,298.241111111111,1,0,0,0,0,0
0,2,-7.58260405549627,141.237780149413,9.41739594450374,-25.1,412,45,156,0,0,0,0,0,0
1,1,7.07133676092545,56.8920179948586,1.02622107969152,14.7131105398458,828.1735218509,78.2724935732648,38.3753213367609,1,0,0,0,0,0
0,2,11.9891581632653,85.4152551020408,20.7202806122449,0.589158163265306,972.776785714286,14,279.108418367347,1,0,0,0,0,0
0,2,4.51412133891213,121.176924686192,16.9643305439331,-11.9620292887029,431.32949790795,70.4142259414226,209.175732217573,0,0,1,0,0,0
1,3,13.7768733850129,49.5905813953488,7.77894056847545,20.0525839793282,1135.81266149871,90.5219638242894,20.7416020671835,0,0,1,0,0,0
1,1,16.9079608938548,51.6908798882682,11.4560055865922,23.5081005586592,354.090782122905,84.4930167597766,19.0027932960894,0,0,0,0,0,1
1,1,11.0929824561404,51.3713596491228,5.22357456140351,17.7381578947368,1120.29714912281,68.2368421052632,69.0328947368421,0,0,0,0,0,1
0,1,5.66502732240437,95.6314316939891,-3.98295081967213,-1.81060109289617,1124.89071038251,10,268.318032786885,1,0,0,0,0,0
1,2,16.1,64.139250317662,8.1,24.2010165184244,719.649301143583,81.0393900889454,18.0914866581957,0,0,0,0,0,1
0,2,4.45730809674027,120.79516298633,16.9056782334385,-11.8971608832808,445.181913774974,67.0283911671924,213.46792849632,0,0,1,0,0,0
1,1,11.6645287958115,63.2042931937173,5.02395287958115,20.0824607329843,861.23167539267,82,27.3232984293194,1,0,0,0,0,0
0,1,9.27609988109393,88.7362782401902,4.22271105826397,18.2438763376932,1174.1355529132,9,272.399524375743,0,0,0,0,0,1
0,3,10.4123756906077,82.8298563535912,0.557790055248619,20.5583425414365,311.265193370166,36.5977900552486,42,0,0,0,0,0,1
1,2,10.3342786683107,37.8261035758323,6.41454993834772,15.1907521578298,1912.27127003699,82.1923551171393,56.766954377312,1,0,0,0,0,0
0,2,9.60817307692308,96.5586899038462,21.6954326923077,-1.89182692307692,842.673076923077,20,260.836538461539,0,0,0,0,0,1
0,3,10.9467843631778,92.6101134930643,9.9,23.2519546027743,395.747793190416,28.139974779319,70,0,0,0,1,0,0
0,3,-3.46350314026518,112.717069085834,10.2099790648988,-9.88464759246336,354.277041172366,42.9490579204466,145.926727145848,1,0,0,0,0,0
1,3,13.9717616580311,37.4282772020725,9.40971502590674,18.2974093264249,968.11139896373,92.2836787564767,14.2823834196891,0,0,0,0,0,1
0,2,16.990395480226,64.9292514124294,24.650988700565,20.190395480226,468.677966101695,74.1200564971751,204.672316384181,0,1,0,0,0,0
0,2,17.2229916897507,50.4947091412742,11.9174515235457,23.6480609418283,317.382271468144,82.4612188365651,19.4764542936288,0,0,1,0,0,0
1,3,10.550430504305,90.5048462484625,9.6530135301353,22.4974169741697,430.674046740467,26.1992619926199,71,0,0,0,0,0,1
0,1,22.3,43.9260088365243,27.4,17.4446244477172,1275.0913107511,58.4491899852725,591.067746686303,0,0,0,0,1,0
0,1,7.24551282051282,57.1283076923077,1.17371794871795,14.9188461538462,829.853846153846,78.5487179487179,37.898717948718,1,0,0,0,0,0
0,2,15.3738782051282,21.1415865384615,16.6405448717949,12.3738782051282,841.11217948718,94.4983974358974,238.108974358974,0,0,0,0,0,1
0,3,23.6849104859335,45.7902557544757,28.5,21.2179028132992,733.3273657289,51.8874680306905,210.772378516624,0,1,0,0,0,0
0,3,5.85298759864713,98.1839909808343,1.07429537767756,-6.01093573844419,1178.45321307779,10,307.349492671928,1,0,0,0,0,0
1,3,6.16936936936937,44.6101301301301,1.56656656656657,12.0796796796797,2167.3033033033,52.6466466466467,232.102102102102,1,0,0,0,0,0
1,3,14.4359335038363,33.8861764705882,9.94245524296675,17.9695652173913,546.740409207161,87.7020460358056,8.55626598465473,0,0,0,0,0,1
1,2,17.8792276964048,42.878828229028,13.3505992010652,21.1031957390147,258.363515312916,61.098535286285,29.0559254327563,0,0,0,0,0,1
0,1,23,58.06,26.9721139430285,16.7685157421289,659.041979010495,70.6596701649175,219.497751124438,0,0,1,0,0,0
1,2,9.03449401523395,35.9210010881393,5.32426550598477,13.5213275299238,3136.20892274211,52,316.268770402611,1,0,0,0,0,0
0,2,18.4364406779661,67.6550988700565,26.5364406779661,21.686581920904,376.966101694915,74.5042372881356,167.024011299435,0,1,0,0,0,0
0,3,7.43466666666666,92.7854181818182,16.8701818181818,-3.76266666666667,1139.62303030303,7.35515151515152,302.061818181818,1,0,0,0,0,0
0,2,20.0189873417722,25.3697310126582,22.2674050632911,17.7742088607595,417.330696202532,78.2215189873418,141.552215189873,0,0,0,0,0,0
0,1,9.5,95.5316387559809,21.3885167464115,-1.9,847,20,261,0,0,0,0,1,0
0,3,10.4393333333333,84.0877555555556,0.239555555555556,20.5718888888889,295.14,36.93,40,0,0,0,0,1,0
0,2,13.7322997416021,80.9827260981912,13.6284237726098,19.6452196382429,1354.43669250646,15,306.736434108527,0,0,0,0,0,1
0,3,9.7,100.281269461078,22.0726946107784,-3.87125748502994,930.281437125749,28.762874251497,302.719760479042,0,0,0,0,0,1
0,2,22.2,44.5817914831131,27.3069016152717,17.2,1219.9295154185,48.3994126284875,503.080763582966,0,0,0,0,0,1
0,3,15.3545454545455,75.3475935828877,24.8251336898396,10.7516042780749,1147.15106951872,14,334.351604278075,0,0,0,0,0,1
1,2,10.9930942895086,36.7236122177955,7.06772908366534,15.6371845949535,714.201859229748,87.3160690571049,14.9096945551129,0,1,0,0,0,0
1,2,8.90182992465016,51.3913778256189,3.20818083961249,15.5083961248654,2483.94294940796,62.1969860064586,174.551130247578,1,0,0,0,0,0
0,1,21.2866965620329,50.2997010463378,25.121375186846,14.5318385650224,913.849028400598,79.9387144992526,368.029895366218,0,1,0,0,0,0
0,3,9.86960193003619,99.574246079614,22.2,-3.50627261761158,922.524728588661,28,300,0,0,0,0,0,1
1,1,9.74853977844914,53.3685397784491,3.46435045317221,16.5673716012085,1527.4612286002,47.9738167170191,166.928499496475,0,0,0,0,0,0
0,1,10.9,94.7246925972397,20.6,-1.9,1023.5834378921,20,299.38895859473,0,0,0,0,0,1
1,1,17.0670765027322,45.9300956284153,12.146174863388,22.7842896174863,444.590163934426,90.6803278688524,14.8825136612022,0,0,0,0,0,1
1,3,11.0666265060241,34.2111084337349,7.2955421686747,15.2331325301205,1560.27108433735,74.7614457831325,61.9421686746988,1,0,0,0,0,0
0,1,1.27176895306859,80.3999927797834,7.1971119133574,0.904981949458484,516.017328519856,47.3530685920578,144.108303249097,1,0,0,0,0,0
0,2,5.53125,94.1526293103448,-3.64773706896552,15.545150862069,1153.88362068966,12.4773706896552,267.689655172414,0,0,0,0,0,1
0,3,3.8,109.084008762322,15.886308871851,-9.4,839.61117196057,37.5969331872946,299,0,0,0,0,0,0
0,2,13.3489566613162,17.7585874799358,14.7158908507223,10.7884430176565,996.367576243981,95.0272873194222,296.894060995185,0,0,0,0,1,0
1,2,7.67267326732673,40.352603960396,3.36316831683168,12.9248514851485,2346.14356435644,49.8346534653465,258.268316831683,1,0,0,0,0,0
1,3,9.71052048726467,82.8091251384275,-0.150276854928018,19.8647840531561,373.299003322259,40.5293466223699,46.0520487264673,0,0,0,0,0,1
1,1,9.66830491474424,51.4629087261785,3.74012036108325,16.3143430290873,1319.73520561685,50.1193580742227,139.802407221665,0,0,0,0,0,1
0,2,19.6,61.0070317002882,26.7622478386167,15.9,1546.83141210375,28,539,0,0,0,1,0,0
0,2,15.5,79.166931359354,23.8973082099596,6.3,469.93001345895,57.4374158815612,189.907133243607,0,0,0,0,0,1
0,3,7.52910628019324,92.6900483091788,16.9420289855072,-3.63490338164251,1141.71618357488,7,302.400966183575,1,0,0,0,0,0
0,1,22,49.833223880597,25.4232835820896,15.0232835820896,493.520895522388,73.4611940298507,169.9,0,0,0,0,0,1
1,1,12.3381991814461,57.8180900409277,6.25525238744884,18.8929058663029,735.776261937244,79.6971350613915,49.2046384720327,1,0,0,0,0,0
0,1,8.75122249388753,109.457775061125,20.0960880195599,-6.37322738386308,836.636919315403,49.960880195599,335.039119804401,0,0,0,0,0,1
0,1,12.0077210460772,100.759427148194,22.2495641344956,-1.540099626401,855.313823163138,52,325.377334993773,0,0,0,0,1,0
