"presence","fold","bio04","bio08","bio10","bio16","bio18","forest","shrub","grass","wetland","crop","urban"
0,3,83.2694130675526,0.5,21.3335548172757,117.429678848284,42.312292358804,0,0,0,0,0,1
0,3,141.05014683153,9.34250386398764,9.62619783616692,164,155,0,0,0,0,0,0
0,3,140.903638573744,9.4757698541329,9.79189627228525,164.488654781199,156.488654781199,0,0,0,0,0,0
0,2,88.2048454545455,13.441,13.441,205.364545454545,205.364545454545,1,0,0,0,0,0
0,3,99.4184268292683,22,22,301.710975609756,301.710975609756,0,0,0,0,0,1
0,3,91.7240302267003,9.85125944584383,23.0090680100756,143.372795969773,70,0,0,0,0,0,1
0,3,148.055299347955,14.4479549496147,14.4479549496147,138.244813278008,138.244813278008,0,0,0,1,0,0
0,3,82.8001997780244,0.4,21.1825749167592,108.380688124306,41,0,0,0,0,0,1
1,1,57.6459958506224,3.3399377593361,14.245020746888,1045.27904564315,287.405601659751,1,0,0,0,0,0
0,3,91.7574470734745,9.8587795765878,23.0551681195517,143.947696139477,71,0,0,0,1,0,0
1,1,67.7822149410223,8.8735255570118,24.7273918741809,268.906946264744,6,0,1,0,0,0,0
0,1,111.054751929438,16.1805953693495,17.4183020948181,313.148842337376,308.631753031974,1,0,0,0,0,0
1,1,60.0654204398448,2.96507115135834,17.4399741267788,529.323415265201,32.8926261319534,1,0,0,0,0,0
0,2,94.9016395222584,-3.9028230184582,17.4048859934853,344.522258414767,269.028230184582,0,0,0,0,0,1
0,2,81.5719120654397,14.3406952965235,16.5406952965235,154.529652351738,138,0,0,0,0,1,0
0,3,77.6530814524043,-2.2360157016683,16.8976447497547,455.021589793916,115.638861629048,1,0,0,0,0,0
0,3,82.8373503325942,0.364966740576497,21.1123059866962,113.412416851441,41,0,0,0,0,0,1
0,3,83.2749336283186,0.349115044247788,21.2379424778761,112.383849557522,41,0,0,0,0,1,0
0,3,106.380590200445,18.2070155902004,19.3766146993318,270.102449888641,266.04008908686,0,0,0,0,1,0
0,2,62.52342291372,26.9076379066478,26.9076379066478,397.46676096181,397.46676096181,1,0,0,0,0,0
0,1,71.6768282548477,9.13005540166205,26.0601108033241,437.63296398892,333.353185595568,1,0,0,0,0,0
1,2,56.2043857758621,2.25840517241379,15.8927801724138,1234.44073275862,153.355603448276,1,0,0,0,0,0
0,2,84.2338643702906,14.5313240043057,16.9452099031216,118.449946178687,105.449946178687,0,0,0,0,1,0
1,1,58.6487768817204,6.0255376344086,20.2865591397849,378.799731182796,52.5241935483871,0,1,0,0,0,0
0,1,87.249406175772,0.8,20.8111638954869,323.388361045131,262,0,0,0,1,0,0
1,2,49.6065410497981,11.5592193808883,23.6522207267833,204.979811574697,19.1911170928668,0,0,0,0,0,1
1,3,36.1136233766234,10.0166233766234,18.7709090909091,596.363636363636,13.6662337662338,0,0,0,0,0,1
0,2,107.671409313725,20.5960784313726,22.6702205882353,322.769607843137,321.263480392157,0,0,0,0,0,1
1,2,58.6817971758665,8.26251604621309,23.0124518613607,266.222079589217,5.93196405648267,0,0,0,0,0,1
1,3,26.8729663212435,10.1287564766839,16.6961139896373,338.301813471503,13.3717616580311,1,0,0,0,0,0
0,3,76.0240211640211,23.9378306878307,24.5337301587302,367.636243386243,364.669312169312,0,0,0,0,0,1
0,1,84.8360969387755,23.5071428571429,23.5071428571429,302.669642857143,302.669642857143,0,0,0,1,0,0
0,2,95.8665731707317,20.7753658536585,20.7753658536585,246.984146341463,246.984146341463,0,0,0,0,0,1
0,3,83.3499889012209,0.6,21.4120976692564,117.11320754717,42.6359600443951,0,0,0,0,0,1
0,3,82.6333555555556,0.5,21.2455555555556,91.4066666666667,40,0,0,0,0,1,0
1,2,33.5155902004454,7.49209354120267,15.5130289532294,781.447661469933,78.6759465478842,1,0,0,0,0,0
0,1,111.123710208562,16.2290889132821,17.4732162458836,312.950603732162,308.31613611416,1,0,0,0,0,0
0,2,44.0843740795287,27.3502209131075,27.3701030927835,522.00441826215,518.027982326951,0,0,0,0,0,1
0,1,65.6352865329513,22.7246418338109,26.9829512893983,271,209.836676217765,0,1,0,0,0,0
1,2,52.8730303030303,7.39002525252525,20.2667929292929,610.574494949495,27.4090909090909,0,1,0,0,0,0
0,3,97.4112035995501,0.682452193475815,17.5467941507312,344.352080989876,319.670416197975,1,0,0,0,0,0
0,1,70.6692896935933,9.7,26.2,432.636490250696,312,0,0,0,1,0,0
0,1,51.8063541666667,24.4790178571428,27.0928571428571,129.505952380952,89.7529761904762,0,1,0,0,0,0
0,3,99.4156793145655,22.0179926560588,22.0179926560588,301.231334149327,301.231334149327,0,0,0,0,0,1
0,3,71.4599859353024,22.8091420534459,27.8330520393812,310.682137834037,194.135021097046,0,0,0,1,0,0
0,2,47.8742995839112,13.2065187239945,24.7292649098474,136.804438280166,19.0651872399445,0,0,0,0,0,1
0,2,43.8620053475936,13.3447860962567,23.9743315508021,122.562834224599,30.0093582887701,0,0,0,0,0,1
0,2,20.4884935897436,17.7663461538462,18.0870192307692,352.929487179487,189.528846153846,0,0,0,0,0,1
0,2,20.1745352564103,16.5980769230769,17.0408653846154,433.429487179487,225.99358974359,0,0,0,0,1,0
0,1,25.7094753577107,21.6531001589825,22.2585055643879,242.721780604134,152.160572337043,0,0,0,0,1,0
0,3,77.0513064833006,-2.49813359528487,16.5318271119843,432.957760314342,114.777996070727,1,0,0,0,0,0
1,2,51.640482832618,3.33648068669528,15.8669527896996,1154.76072961373,173.3830472103,1,0,0,0,0,0
1,3,42.2412487309645,4.16192893401015,14.3591878172589,530.328934010152,92.7502538071066,1,0,0,0,0,0
0,1,94.4637198622273,19.2668197474168,20.0247990815155,222.794489092997,217.83122847302,0,0,0,0,0,1
1,1,57.0196927016645,1.02599231754161,14.8661971830986,417.060179257363,38.291933418694,1,0,0,0,0,0
0,3,91.07869297164,9.8,22.8468557336622,152.059186189889,71,0,0,0,0,0,1
